person_index,canonical_name,canonical_email,erp_us_customer_id,erp_eu_client_ref,crm_account_id,clickstream_true_event_count,clickstream_captured_event_count,clickstream_captured_variants,appears_in_erp,appears_in_crm,appears_in_clickstream
16,Thomas Jackson,fsmith@example.org,CUST-00016,,ACCT-00134;ACCT-00301,23,3,fsmith@example.org  ;fsmith@example.org;fsmiht@example.org,True,True,True
17,Jacob Bean,ericahobbs@example.net,CUST-00017,,ACCT-00096;ACCT-00109,22,3,ericahobbs@example.net;ericahobbs@example.net  ,True,True,True
18,Melanie Dixon,thompsonjill@example.com,CUST-00018,EU-CLI-000149,ACCT-00062,42,10,thomlsonjill@example.com;thompsonjill@example.com;tompsonjill@example.com;Thompsonjill@example.com;thopsonjill@example.com,True,True,True
19,Taylor Cook,sgilmore@example.org,CUST-00019,EU-CLI-000176,ACCT-00050,37,14,sgilmore@example.org;sgiomore@example.org;  sgilmore@example.org;sgilmore@example.org  ;silmore@example.org;sgimore@example.org;sgilomre@example.org;Sgilmore@example.org,True,True,True
20,Stephen Mills,huffmancynthia@example.com,CUST-00020,EU-CLI-000206,ACCT-00209,27,6,huffmancynthia@example.com;huffmanynthia@example.com;HUFFMANCYNTHIA@EXAMPLE.COM,True,True,True
21,Jeffrey Smith,millerbarbara@example.com,CUST-00021,,,26,6,millerbarbara@example.com;MILLERBARBARA@EXAMPLE.COM;milelrbarbara@example.com,True,False,True
22,Wendy Kim,shawnbuchanan@example.com,,EU-CLI-000160,,33,3,shawnbuchanan@example.com,True,False,True
23,Timothy Gray,obrown@example.com,CUST-00023,EU-CLI-000152,,27,5,OBROWN@EXAMPLE.COM;orbown@example.com;obrown@example.com;obroen@example.com,True,False,True
24,Thomas Smith,beckyespinoza@example.org,CUST-00024,EU-CLI-000038,,22,3,beckyespinoza@example.org;heckyespinoza@example.org,True,False,True
25,Jonathan Miller,avilaronald@example.com,CUST-00025,,ACCT-00189;ACCT-00214,27,6,avilaronald@example.com;avialronald@example.com;avilraonald@example.com,True,True,True
26,Melissa Williams,george11@example.com,CUST-00026,,ACCT-00018,29,5,george11@example.com;george11@example.com  ,True,True,True
27,Michelle Smith,leonard61@example.org,CUST-00027,,ACCT-00041;ACCT-00315,32,5,leonard61@example.org;  leonard61@example.org;lenard61@example.org,True,True,True
28,Dalton Baker,jackie04@example.org,CUST-00028,,,32,3,jckie04@example.org;jackie04@example.org,True,False,True
29,Wayne Perez,haley55@example.net,CUST-00029,EU-CLI-000011,ACCT-00116;ACCT-00158,26,8,haley55@example.net  ;hakey55@example.net;haley55@example.net;  haley55@example.net;halwy55@example.net;hlaey55@example.net;Haley55@example.net,True,True,True
30,Dan Turner,reillylori@example.net,CUST-00030,EU-CLI-000048,ACCT-00009;ACCT-00329,23,2,  reillylori@example.net;REILLYLORI@EXAMPLE.NET,True,True,True
31,Deborah Snow,pmoreno@example.com,CUST-00031,,ACCT-00188,31,7,pmlreno@example.com;pnoreno@example.com;pmoreno@example.com,True,True,True
32,Tracy Lopez,shawn89@example.net,CUST-00032,EU-CLI-000178,ACCT-00070,30,7,shawn89@example.net;  shawn89@example.net;shaen89@example.net;shawn89@example.net  ;shawn9@example.net,True,True,True
33,Justin Mcmillan,mmoore@example.org,CUST-00033,,ACCT-00154;ACCT-00340,20,4,mmoore@example.org;mmooee@example.org;mmoroe@example.org,True,True,True
34,Elizabeth Martinez,rmorales@example.org,CUST-00034,EU-CLI-000154,,25,6,rmorales@example.org;Rmorales@example.org;mrorales@example.org;RMORALES@EXAMPLE.ORG;  rmorales@example.org,True,False,True
35,Cesar Simmons,yorkfrank@example.com,CUST-00035,EU-CLI-000246,,34,9,yorkfrank@example.com;Yorkfrank@example.com;  yorkfrank@example.com,True,False,True
36,Alejandro Carpenter,christopher05@example.net,CUST-00036,EU-CLI-000202,,33,2,Christopher05@example.net;CHRISTOPHER05@EXAMPLE.NET,True,False,True
37,Daniel Braun,jeffreywest@example.com,CUST-00037,EU-CLI-000195,ACCT-00164,28,4,jeffreywest@example.com;jefgreywest@example.com,True,True,True
38,Cheryl Harris,ashley02@example.net,CUST-00038,EU-CLI-000019,ACCT-00192,27,6,  ashley02@example.net;ashley02@example.net,True,True,True
39,Michael Gomez,katrina03@example.com,,EU-CLI-000204,ACCT-00079,25,4,katina03@example.com;  katrina03@example.com;KATRINA03@EXAMPLE.COM;katirna03@example.com,True,True,True
40,Tina Abbott,heather07@example.org,CUST-00040,EU-CLI-000083,,23,4,heather07@example.org;haether07@example.org,True,False,True
41,Richard Barnes,olivia20@example.org,CUST-00041,EU-CLI-000115,,31,9,  olivia20@example.org;olivia20@example.org;olkvia20@example.org;livia20@example.org;oluvia20@example.org,True,False,True
42,David Mills,cookjanet@example.org,CUST-00042,EU-CLI-000102,ACCT-00115,30,4,cookjanet@example.org;cookjanet@example.org  ;  cookjanet@example.org,True,True,True
43,Jennifer Alexander,luiscardenas@example.org,CUST-00043,EU-CLI-000015,ACCT-00076,27,7,luiscardena@example.org;luiscardenas@example.org;luiscardensa@example.org;  luiscardenas@example.org,True,True,True
44,Justin Ellis,nphillips@example.net,,EU-CLI-000062,,25,7,mphillips@example.net;Nphillips@example.net;nphillips@example.net;  nphillips@example.net,True,False,True
45,Phyllis Shah,dayian@example.net,CUST-00045,,,26,4,dayian@example.net;DAYIAN@EXAMPLE.NET;dayian@example.net  ,True,False,True
46,Ashley Hernandez,cynthia23@example.org,CUST-00046,EU-CLI-000242,ACCT-00259;ACCT-00264;ACCT-00326,33,4,cynthia23@example.org,True,True,True
47,Mathew Young,kbrown@example.org,CUST-00047,,,33,5,kborwn@example.org;kbrown@example.org;kbrown@example.org  ,True,False,True
48,Lindsey Harrison,dharris@example.org,,,,29,4,dharris@example.org,False,False,True
49,Christina Stewart,shelby77@example.com,CUST-00049,EU-CLI-000220,,22,5,shelby77@example.com;SHELBY77@EXAMPLE.COM;shelhy77@example.com,True,False,True
50,Kristen Horn,joannaolsen@example.org,CUST-00050,EU-CLI-000039,ACCT-00220;ACCT-00279,22,5,joannaolsen@example.org;JOANNAOLSEN@EXAMPLE.ORG,True,True,True
51,Diane Martin,twalters@example.net,CUST-00051,EU-CLI-000035,ACCT-00195,33,5,twalters@example.net;twlaters@example.net;twalters@example.net  ,True,True,True
52,Maurice Fernandez,forbeshannah@example.org,,,,31,6,forbeshannah@example.org;forbeshannh@example.org;fobeshannah@example.org;forbeshannah@example.org  ,False,False,True
53,Clayton Goodman,irogers@example.org,CUST-00053,EU-CLI-000215,,34,5,irogers@example.org;irogers@example.org  ,True,False,True
54,Kyle Lopez,ilopez@example.org,CUST-00054,EU-CLI-000224,ACCT-00302,26,3,ilopez@example.org;  ilopez@example.org,True,True,True
55,Alyssa Watson,qwatkins@example.com,CUST-00055,EU-CLI-000126,,33,5,qwatkins@example.com;QWATKINS@EXAMPLE.COM;watkins@example.com,True,False,True
56,Lisa Torres,bentleyjohnathan@example.org,,EU-CLI-000017,ACCT-00065,31,4,benrleyjohnathan@example.org;bentleyjohnahan@example.org;bentleyjohnathan@example.org,True,True,True
57,Brandon Ramirez,greenxavier@example.com,CUST-00057,EU-CLI-000151,ACCT-00207;ACCT-00288,34,6,  greenxavier@example.com;greenxaver@example.com;greenxavier@example.com,True,True,True
58,Monica Frazier,sarabrown@example.com,,EU-CLI-000199,ACCT-00224,27,5,sarabown@example.com;  sarabrown@example.com;sarabrown@example.com,True,True,True
59,Ronald Orozco,penny31@example.org,CUST-00059,EU-CLI-000173,,33,8,penny31@example.org;PENNY31@EXAMPLE.ORG;pneny31@example.org;oenny31@example.org;Penny31@example.org,True,False,True
60,Gina Stark,corey84@example.org,CUST-00060,,ACCT-00339,26,3,crey84@example.org;corey84@example.org;Corey84@example.org,True,True,True
61,Stephen Levine,travismorales@example.org,CUST-00061,EU-CLI-000139,ACCT-00316,33,6,travismorales@example.org;Travismorales@example.org,True,True,True
62,Mia Smith,johnsonjustin@example.net,CUST-00062,EU-CLI-000165,ACCT-00001;ACCT-00111;ACCT-00327,29,7,johnsonjustin@example.net  ;johnsonjustin@example.net;johnsonjsutin@example.net;Johnsonjustin@example.net;  johnsonjustin@example.net,True,True,True
63,Leslie Leonard,adamjensen@example.com,CUST-00063,EU-CLI-000092,ACCT-00159,28,4,aadmjensen@example.com;adamjensen@example.com;ADAMJENSEN@EXAMPLE.COM;Adamjensen@example.com,True,True,True
64,Susan Kelly,leslieorozco@example.org,CUST-00064,EU-CLI-000007,,30,7,leslieorozco@example.org;leslueorozco@example.org;  leslieorozco@example.org;Leslieorozco@example.org,True,False,True
65,Lauren Mayo,benjamingalloway@example.org,CUST-00065,EU-CLI-000010,ACCT-00125,32,6,benjamingalloway@example.org,True,True,True
66,Bruce Callahan,johngreer@example.com,CUST-00066,EU-CLI-000127,,32,9,johngreer@example.com  ;  johngreer@example.com;johngreer@example.com;johgreer@example.com;Johngreer@example.com;JOHNGREER@EXAMPLE.COM,True,False,True
67,Curtis Mercado,garrett39@example.org,CUST-00067,EU-CLI-000142,ACCT-00022,24,2,garrett39@example.org,True,True,True
68,Cassie Meyers,avilakristy@example.org,,EU-CLI-000026,ACCT-00005;ACCT-00031,38,8,avilakristy@example.org;avilakisty@example.org;AVILAKRISTY@EXAMPLE.ORG;avilaoristy@example.org,True,True,True
69,Carmen Burns,nathanhill@example.com,CUST-00069,,,25,3,nathanihll@example.com;NATHANHILL@EXAMPLE.COM;nathanhill@example.com,True,False,True
70,Ashley Johnson,dpalmer@example.com,CUST-00070,EU-CLI-000067,ACCT-00110;ACCT-00314,43,11,dpqlmer@example.com;dpalmer@example.com;DPALMER@EXAMPLE.COM;  dpalmer@example.com;dpalmer@example.com  ,True,True,True
71,Patrick Howard MD,gwilliams@example.com,,EU-CLI-000119,ACCT-00059,33,3,Gwilliams@example.com;gwilliams@example.com;gwilliqms@example.com,True,True,True
72,Katrina Moore,melissafernandez@example.net,,,ACCT-00274,33,5,melissafernandez@example.net;melissafernamdez@example.net,False,True,True
73,Aaron Berg,carlsonlori@example.org,,EU-CLI-000203,ACCT-00171,20,5,carlsonlori@example.org;calsonlori@example.org;Carlsonlori@example.org,True,True,True
74,David Massey,ataylor@example.com,CUST-00074,,ACCT-00297,38,6,ataylor@example.com;  ataylor@example.com,True,True,True
75,Andrew Case,ashlee90@example.net,,EU-CLI-000013,ACCT-00072;ACCT-00292,41,11,ashlee90@example.net;sahlee90@example.net;ASHLEE90@EXAMPLE.NET;ashkee90@example.net;ashlee90@example.net  ;sshlee90@example.net;ashlee9@example.net,True,True,True
76,Julie Sullivan,kdiaz@example.com,CUST-00076,EU-CLI-000045,ACCT-00208;ACCT-00270,32,5,kdiaz@example.com  ;kdiaz@example.com;idiaz@example.com;kriaz@example.com,True,True,True
77,Katherine Cortez,duncanriley@example.net,CUST-00077,EU-CLI-000037,ACCT-00197,19,5,duncarniley@example.net;duncanriley@example.net;duncanrliey@example.net;  duncanriley@example.net,True,True,True
78,Sandra Stewart,wilsonashley@example.net,,EU-CLI-000036,ACCT-00046;ACCT-00190,29,4,wilsonashley@example.net;WILSONASHLEY@EXAMPLE.NET;wilsnashley@example.net;wilsonzshley@example.net,True,True,True
79,Matthew Lee,vorr@example.net,CUST-00079,EU-CLI-000147,ACCT-00089,27,3,vorr@example.net;Vorr@example.net,True,True,True
80,Robert Wheeler,fwashington@example.com,CUST-00080,EU-CLI-000114,ACCT-00101;ACCT-00187,37,7,fwashington@example.com;  fwashington@example.com;Fwashington@example.com;FWASHINGTON@EXAMPLE.COM,True,True,True
81,Allison Montgomery,mfitzpatrick@example.org,CUST-00081,EU-CLI-000233,ACCT-00231,36,3,mfitzpatrick@example.org;mfitzpatrick@example.org  ,True,True,True
82,Daniel Meyer,nshaw@example.net,CUST-00082,EU-CLI-000162,ACCT-00155,27,2,Nshaw@example.net;nshaw@example.net,True,True,True
83,Jack Smith,hbutler@example.com,CUST-00083,EU-CLI-000191,ACCT-00283,23,4,hbutler@example.com  ;hubtler@example.com;hbutler@example.com,True,True,True
84,Seth Schultz,mcleandwayne@example.com,,EU-CLI-000004,,26,5,mcleandwayne@example.com;mcleandwyne@example.com;mcelandwayne@example.com;  mcleandwayne@example.com,True,False,True
85,Jeremy Peck,mmcbride@example.org,,EU-CLI-000064,ACCT-00165,22,3,mmbride@example.org;mmcbride@example.org  ;mmcbride@example.org,True,True,True
86,Stephen Fitzpatrick,brittany67@example.com,CUST-00086,EU-CLI-000227,,29,8,brittany67@example.com;BRITTANY67@EXAMPLE.COM;bruttany67@example.com,True,False,True
87,Ryan Davis,lpierce@example.org,CUST-00087,EU-CLI-000187,,35,6,lpierce@example.org;pierce@example.org;Lpierce@example.org;lpiere@example.org,True,False,True
88,Christina Richardson,wesleywebb@example.com,CUST-00088,EU-CLI-000098,ACCT-00047;ACCT-00080,29,4,weseywebb@example.com;wesleywebb@example.com,True,True,True
89,Alex Cook,robertschristopher@example.com,CUST-00089,,ACCT-00035;ACCT-00136,26,4,Robertschristopher@example.com;robertschristopher@example.com,True,True,True
90,Cameron Ingram,joethornton@example.com,CUST-00090,EU-CLI-000234,,26,6,Joethornton@example.com;joethortnon@example.com;joethornton@example.com;JOETHORNTON@EXAMPLE.COM,True,False,True
91,John Ramirez,ocortez@example.net,CUST-00091,EU-CLI-000237,ACCT-00150,33,4,ocortez@example.net;ocrtez@example.net;ocortez@example.net  ,True,True,True
92,Daniel Romero,jennifermurray@example.com,,EU-CLI-000122,ACCT-00026,28,3,jennifermurray@example.com,True,True,True
93,Courtney Gonzalez,clarkdaniel@example.net,CUST-00093,EU-CLI-000086,ACCT-00196,22,2,clarkdaniel@example.net;clarkdaniel@example.net  ,True,True,True
94,Keith Moore,mnguyen@example.com,CUST-00094,,ACCT-00068;ACCT-00146;ACCT-00350,27,4,knguyen@example.com;mnguyen@example.com;mnguyen@example.com  ,True,True,True
95,Johnny Anthony,michellegibson@example.org,,EU-CLI-000184,,18,4,michellegibson@example.org  ;michelegibson@example.org;michellegibson@example.org;  michellegibson@example.org,True,False,True
96,Joyce Harmon,roberto82@example.net,CUST-00096,EU-CLI-000068,ACCT-00038;ACCT-00042,27,7,roberto82@example.net;roberto82@example.net  ;robreto82@example.net,True,True,True
97,Stuart Simpson,ukaufman@example.org,CUST-00097,EU-CLI-000232,ACCT-00106;ACCT-00306,26,5,ukaufman@example.org;UKAUFMAN@EXAMPLE.ORG,True,True,True
98,Sandra Gillespie,alee@example.org,CUST-00098,,ACCT-00273,44,7,alee@example.org;alee@example.org  ;alwe@example.org;ALEE@EXAMPLE.ORG,True,True,True
99,Benjamin Mcintosh,hmercado@example.net,CUST-00099,EU-CLI-000175,ACCT-00122;ACCT-00318,32,5,hmdrcado@example.net;hmercado@example.net;Hmercado@example.net,True,True,True
100,Sarah Case,tiffanygraham@example.com,,EU-CLI-000228,,31,3,tiffanygraham@example.com;tiffanygraha@example.com,True,False,True
101,Amy Padilla,ndavis@example.org,CUST-00101,EU-CLI-000058,,25,10,ndavis@example.org;Ndavis@example.org;ndavid@example.org;ndvais@example.org;nadvis@example.org;ndavis@example.org  ,True,False,True
102,Jennifer Ruiz,upowell@example.net,CUST-00102,EU-CLI-000200,,26,5,upowell@example.net;  upowell@example.net,True,False,True
103,Steve Martin,harrisjoshua@example.net,CUST-00103,EU-CLI-000190,ACCT-00157;ACCT-00215,36,6,  harrisjoshua@example.net;harrisjoshua@example.net;Harrisjoshua@example.net;harrisjoshja@example.net;HARRISJOSHUA@EXAMPLE.NET,True,True,True
104,Jennifer Fitzgerald,ricky25@example.com,CUST-00104,EU-CLI-000005,ACCT-00163;ACCT-00286,32,4,ricky25@example.com;Ricky25@example.com,True,True,True
105,Theresa Hogan,maryfernandez@example.org,,EU-CLI-000138,ACCT-00333,27,9,maryfernandez@example.org  ;maryfernandez@example.org,True,True,True
106,Mrs. Renee Ramirez,melissagraham@example.net,CUST-00106,EU-CLI-000264,,30,6,melissagraham@example.net;melissgraham@example.net,True,False,True
107,Chris Davis,amanda18@example.org,CUST-00107,,,41,5,  amanda18@example.org;amanda18@example.org  ;Amanda18@example.org;amanda18@example.org,True,False,True
108,Brenda Huffman,morganvaldez@example.net,CUST-00108,,,31,3,morganvaldez@example.net;morhanvaldez@example.net;morganvaldrz@example.net,True,False,True
109,Robert Hernandez,john84@example.com,CUST-00109,EU-CLI-000091,,18,5,john84@example.com;  john84@example.com,True,False,True
110,Philip Cline,caitlingraham@example.org,,EU-CLI-000033,ACCT-00199,28,6,caitlingraham@example.org;caitlingrham@example.org;caitlingraham@example.org  ,True,True,True
111,Victor Obrien,peterchurch@example.com,CUST-00111,EU-CLI-000001,ACCT-00334,21,3,peterchurch@example.com;peterchufch@example.com,True,True,True
112,Gary Meyer,deckerfrancisco@example.com,CUST-00112,,ACCT-00104,31,5,deckerfrancico@example.com;deckerfrancisco@example.com,True,True,True
113,William Kennedy,kevin69@example.net,CUST-00113,EU-CLI-000116,,38,4,kevin69@example.net,True,False,True
114,Katie Floyd,kellyjill@example.net,CUST-00114,EU-CLI-000014,,34,7,kellyjill@example.net;KELLYJILL@EXAMPLE.NET;kellyjil@example.net;kellyijll@example.net;klelyjill@example.net,True,False,True
115,Beth Davis,mreynolds@example.net,CUST-00115,EU-CLI-000262,ACCT-00008;ACCT-00090;ACCT-00120;ACCT-00278,22,2,Mreynolds@example.net;MREYNOLDS@EXAMPLE.NET,True,True,True
116,Patrick Valencia,josephmiller@example.com,CUST-00116,EU-CLI-000021,ACCT-00348,30,5,josephmiller@example.com;  josephmiller@example.com,True,True,True
117,Linda Harris,travisdaniels@example.com,CUST-00117,,,21,2,travisdaniels@example.com;travisdaniels@example.com  ,True,False,True
118,Mr. Robert Haney,timothybenson@example.org,CUST-00118,EU-CLI-000073,,30,2,timothybnson@example.org;timothyhenson@example.org,True,False,True
119,Mariah Simmons,corymorgan@example.net,,EU-CLI-000002,,24,4,corymorgan@example.net;Corymorgan@example.net,True,False,True
120,Ashley Garcia,richardjefferson@example.org,,,ACCT-00160,21,3,richardjefferson@example.org;richardjwfferson@example.org,False,True,True
121,Garrett Solomon,oconnordonald@example.org,CUST-00121,,ACCT-00043;ACCT-00290,23,7,oconnordonald@example.org;  oconnordonald@example.org;connordonald@example.org;oconnordnoald@example.org;oconnordoald@example.org,True,True,True
122,Michael Jones,amandaobrien@example.com,CUST-00122,EU-CLI-000144,,44,7,amandaobrien@example.com;mandaobrien@example.com;amanadobrien@example.com;amandaobrien@example.com  ,True,False,True
123,Chad Hill,belljason@example.com,CUST-00123,EU-CLI-000247,ACCT-00112,31,6,belljason@example.com;BELLJASON@EXAMPLE.COM;belojason@example.com;Belljason@example.com,True,True,True
124,Timothy Bennett,mackenzie72@example.org,CUST-00124,EU-CLI-000205,ACCT-00234,28,6,mackenzie72@example.org;mackenzie72@example.org  ;macenzie72@example.org;mackenize72@example.org;mackwnzie72@example.org,True,True,True
125,Jessica Patrick,ellisjustin@example.net,CUST-00125,,ACCT-00086,27,2,ellisjustin@example.net;  ellisjustin@example.net,True,True,True
126,Todd Craig,jason94@example.net,CUST-00126,,,28,4,jason94@example.net;Jason94@example.net,True,False,True
127,Jill Collins,stephanie16@example.org,CUST-00127,,ACCT-00004,24,5,Stephanie16@example.org;stephanie16@example.org;stephanke16@example.org,True,True,True
128,Patrick Franklin,holmesashley@example.org,,EU-CLI-000054,ACCT-00285,25,4,HOLMESASHLEY@EXAMPLE.ORG;holmesashlye@example.org;  holmesashley@example.org,True,True,True
129,Paul Ellis,jonespaul@example.com,CUST-00129,EU-CLI-000105,ACCT-00021;ACCT-00181,26,7,jonespul@example.com;jonespaul@example.com;jinespaul@example.com;JONESPAUL@EXAMPLE.COM,True,True,True
130,Brian Obrien,raymond41@example.org,CUST-00130,EU-CLI-000032,ACCT-00102;ACCT-00148,32,9,raymon4d1@example.org;raymond41@example.org;raymnd41@example.org;raykond41@example.org,True,True,True
131,Ronald Collins,ucasey@example.net,CUST-00131,EU-CLI-000213,,27,4,ucasey@example.net;ucasey@example.net  ,True,False,True
132,Lisa Hart,chris17@example.com,CUST-00132,EU-CLI-000244,,37,6,Chris17@example.com;  chris17@example.com;chris17@example.com;crhis17@example.com;cris17@example.com,True,False,True
133,William Avila,sbradley@example.com,,EU-CLI-000094,,22,5,sbtadley@example.com;sbradley@example.com;SBRADLEY@EXAMPLE.COM,True,False,True
134,Jason Stevens DDS,dana88@example.com,CUST-00134,,,30,7,dana88@example.com;daan88@example.com;DANA88@EXAMPLE.COM;  dana88@example.com;dana8@example.com,True,False,True
135,Nicole Richardson,ivalentine@example.com,CUST-00135,EU-CLI-000053,ACCT-00152,19,3,ovalentine@example.com;ivalentine@example.com;ivalentne@example.com,True,True,True
136,Juan Castillo,cervantesdarryl@example.org,CUST-00136,EU-CLI-000095,,27,5,cervantesdarryl@example.org;cervantesdarryl@example.org  ;CERVANTESDARRYL@EXAMPLE.ORG,True,False,True
137,Nicholas Peterson,dawnpruitt@example.com,CUST-00137,EU-CLI-000118,ACCT-00015;ACCT-00141,30,7,dawnpruitt@example.com;dwnpruitt@example.com;dawnprutit@example.com;dawpruitt@example.com;DAWNPRUITT@EXAMPLE.COM;  dawnpruitt@example.com,True,True,True
138,Stephanie Dominguez,ortizchristopher@example.org,CUST-00138,EU-CLI-000129,,34,5,ortizchristopher@example.org;ORTIZCHRISTOPHER@EXAMPLE.ORG;orticzhristopher@example.org;ortizchristpher@example.org;Ortizchristopher@example.org,True,False,True
139,Joshua Davis Jr.,uhicks@example.org,CUST-00139,EU-CLI-000216,,30,5,uhicks@example.org;uhicks@example.org  ;uicks@example.org;uhucks@example.org,True,False,True
140,Michael Mason,patricia65@example.com,,,,24,3,patricia65@example.com,False,False,True
141,Theresa Andrews,judy18@example.com,CUST-00141,EU-CLI-000120,,32,3,judy18@example.com;jud18@example.com,True,False,True
142,Angela Sullivan,mgibson@example.com,CUST-00142,EU-CLI-000136,ACCT-00023;ACCT-00222;ACCT-00226,24,9,mgibson@example.com  ;mgibson@example.com;mgibaon@example.com;MGIBSON@EXAMPLE.COM;mgisbon@example.com,True,True,True
143,Ashley Henderson,barnescaitlin@example.com,CUST-00143,EU-CLI-000238,ACCT-00183,23,3,barnescaitlin@example.com;barnescqitlin@example.com;barnescaitlin@example.com  ,True,True,True
144,Andrew Leach,bdixon@example.net,CUST-00144,EU-CLI-000155,,34,6,Bdixon@example.net;  bdixon@example.net;bdixno@example.net;bdixon@example.net,True,False,True
145,Craig Harris,wsimmons@example.org,,,ACCT-00174,23,3,wsimmons@example.org,False,True,True
146,Destiny Moody,goodwinnicholas@example.com,CUST-00146,EU-CLI-000171,,31,7,goodwinnicholas@example.com  ;GOODWINNICHOLAS@EXAMPLE.COM;goodwinnicholas@example.com,True,False,True
147,Joseph Marks,coxlisa@example.org,,EU-CLI-000034,ACCT-00201,27,8,coxlisa@example.org;ocxlisa@example.org;coxlisa@example.org  ;cxolisa@example.org,True,True,True
148,Linda Smith,zcook@example.org,CUST-00148,,ACCT-00029,25,2,zocok@example.org;ZCOOK@EXAMPLE.ORG,True,True,True
149,Natalie Ramos,ryan35@example.org,CUST-00149,EU-CLI-000089,ACCT-00133,30,7,ryan35@example.org;  ryan35@example.org;ryan3@example.org;RYAN35@EXAMPLE.ORG;ryan35@example.org  ,True,True,True
150,Seth Baker,michael93@example.org,,EU-CLI-000196,ACCT-00319,28,4,michael93@example.org  ;michale93@example.org;Michael93@example.org;michael93@example.org,True,True,True
151,Tony Keller,sherri47@example.org,CUST-00151,EU-CLI-000240,ACCT-00045;ACCT-00143,28,4,sherri47@example.org;Sherri47@example.org;sjerri47@example.org,True,True,True
152,Kristy Mercado,fcole@example.net,,EU-CLI-000174,ACCT-00223;ACCT-00268,37,4,fcole@example.net,True,True,True
153,Mark Lambert,tshaw@example.com,,EU-CLI-000239,ACCT-00085;ACCT-00307,28,5,tshaw@example.com,True,True,True
154,Brittany Garza,longryan@example.com,CUST-00154,EU-CLI-000006,,35,6,longryan@example.com;  longryan@example.com,True,False,True
155,Colleen Page,ortegachristina@example.net,CUST-00155,,ACCT-00126,23,5,ortegachristina@example.net;ORTEGACHRISTINA@EXAMPLE.NET;ortegachristina@example.net  ,True,True,True
156,John Donaldson,jeffery64@example.org,CUST-00156,EU-CLI-000229,,25,5,jeffery64@example.org;  jeffery64@example.org,True,False,True
157,Teresa Green,williambooth@example.org,,EU-CLI-000182,ACCT-00281,30,4,williambooth@example.org  ;williamooth@example.org;williambooth@example.org;wililambooth@example.org,True,True,True
158,Michael Finley,christina81@example.org,CUST-00158,EU-CLI-000167,,25,6,christina81@example.org;Christina81@example.org;christin8a1@example.org;christina81@example.org  ,True,False,True
159,Paul Lee,alyssa42@example.net,CUST-00159,EU-CLI-000106,ACCT-00240,28,6,alyssa42@example.net;alyssa42@example.net  ,True,True,True
160,Michael Stanley,marcusmartin@example.net,CUST-00160,EU-CLI-000180,,21,4,marcusmartin@example.net,True,False,True
